"Input","Target"
" what is a movie written by Granz Henman","	Pornorama"
" what films did Harry Hurwitz write","	Under the Rainbow, The Projectionist"
" which movie did Bennett Yellin write","	Dumb and Dumber To, Stuck on You, In the Blood"
" what movies was Keir O'Donnell the writer of","	A Case of You"
" which movies was John W. Steiner the writer of","	The Incredible Petrified World"
" which movie did Michael Fessier write","	You Were Never Lovelier, You'll Never Get Rich, Red Garters"
" what films was Lauren Sedofsky a writer on","	Pola X"
" what films did Monique H. Messier write","	Set Me Free"
" what film did Ottiero Ottieri write","	L'Eclisse"
" what movies was Lance Hammer the writer of","	Ballast"
" what movies did Jean George write","	My Side of the Mountain"
" which film did Michael Rasmussen write the story for","	The Ward"
" what movies did Jerzy Gruza write","	Deep End"
" which movie did Julien Josephson write","	Heidi, The Rains Came, Stanley and Livingstone, Wee Willie Winkie, Disraeli, Lady Windermere's Fan, The Man Who Played God, Suez, The Bat"
" what movies was Paul Dickey the writer of","	The Ghost Breakers"
" what movies was Rick Moody the writer of","	The Ice Storm, Personal Effects"
" which movies was Kathryn Stockett a writer on","	The Help"
" what is a movie written by Tôru Takemitsu","	Double Suicide"
" what is a movie written by David Rich","	Renegades"
" which film did Jon Zack write","	The Perfect Score"
" which movies was Rob Gibbs the writer of","	Jack-Jack Attack, Mike's New Car"
" which movie did Antonio Skármeta write","	No"
" which movies was Brian Klugman the writer of","	The Words"
" which movies was Edgar Wright the writer of","	Shaun of the Dead, Hot Fuzz, Scott Pilgrim vs. the World, The Adventures of Tintin, The World's End, Grindhouse, A Fistful of Fingers"
" which movies was Tracy Fraim the writer of","	Best Men"
" which film did Fernando Guillén Cuervo write","	Airbag"
" which film did Jonathan King write the story for","	Black Sheep, The Tattooist"
" what movies was Adriana Rattes the writer of","	Lower City"
" which movies was Telsche Boorman the writer of","	French Twist, Where the Heart Is"
" which movies was Cecilia Miniucchi a writer on","	Expired"
" which film did June Roberts write the story for","	Mermaids, All the Queen's Men"
" which movie did Rosalind Keating Shaffer write","	Lady Killer"
" which film did Tipper Newton write the story for","	Hannah Takes the Stairs"
" what movie did Jason Dodson write the story for","	Bounty Killer"
" what is a film written by Emma-Kate Croghan","	Love and Other Catastrophes, Strange Planet"
" which movies was Ian McLellan Hunter a writer on","	Roman Holiday, Second Chorus, The Outside Man, The Strange Case of Dr. Jekyll and Mr. Hyde"
" which film did Warren Adler write the story for","	The War of the Roses, Random Hearts"
" what movies was Liz W. Garcia the writer of","	The Lifeguard"
" what movie did Arlette Langmann write the story for","	Germinal, Regular Lovers, Loulou, Naked Childhood, Frontier of the Dawn, Uranus"
" which movie did Sean Gullette write","	Pi"
" which film did Nick Stafford write","	War Horse"
" what films was John Griffith Wray a writer on","	Alibi"
" which movies was Richard Alan Simmons the writer of","	Major Payne, Skin Game, The King and Four Queens, The Private War of Major Benson, Beachhead"
" what movie did Caradog W. James write the story for","	The Machine"
" which movies was Alice D.G. Miller a writer on","	On Borrowed Time"
" which movies was Per Vadmand the writer of","	Valhalla"
" what is a movie written by Stephen Elliott","	About Cherry"
" which movie did Jim Moloney write","	The Fiendish Plot of Dr. Fu Manchu"
" what film did Suzanne Fenn write","	Third World Cop"
" what movies did Mademoiselle des Echerolles write","	A Tale of Two Cities"
" which film did Satoshi Kon write the story for","	Paprika, Tokyo Godfathers, Millennium Actress"
" what films was Michelle Ngo a writer on","	The End of America"
" which film did Huaizhuo Liu write","	Shadow Magic"
" what is a movie written by Ai Yazawa","	Nana"
" what is a movie written by Arturo Pérez-Reverte","	The Ninth Gate, Uncovered, Comanche Territory"
" which movie did Rob Meyer write","	A Birder's Guide to Everything"
" which film did Henry F. Greenberg write the story for","	Al Capone, The Caretakers"
" what films was Ronan O'Leary a writer on","	Frankie Starlight"
" which movies was Frédéric Jardin a writer on","	Sleepless Night"
" what is a movie written by Maja Jul Larsen","	The Ambassador"
" what movies did Andrée Pelletier write","	The Peanut Butter Solution"
" which movie did Mark Victor write","	Poltergeist, Cool World, Marked for Death, Death Hunt"
" which film did David Baughn write the story for","	Graduation Day"
" which film did Marcel Rodriguez write","	Machete Kills"
" what movies was Peter Jinks the writer of","	Hallam Foe"
" what movies did Steve Fisher write","	Dead Reckoning, Destination Tokyo, Lady in the Lake, Song of the Thin Man, I Wake Up Screaming, Tokyo Joe, Susan Slept Here, The Man from the Alamo, Johnny Angel, To the Shores of Tripoli"
" what movie did Ray Rigby write the story for","	The Hill, Operation Crossbow"
" what films was Roberto Fontanarrosa a writer on","	Boogie"
" what movies was Mark Burton the writer of","	Madagascar, Chicken Run, Aliens in the Attic"
" what films did David Garrick write","	Richard III"
" what movie did Peter Jobin write the story for","	Happy Birthday to Me"
" what films did Friz Freleng write","	Corn on the Cop"
" what films was John Hazlett a writer on","	These Girls"
" what movies did Virginia Roddick write","	The Walking Hills"
" which film did Matt Roshkow write","	Switching Goals"
" what film did Gene R. Kearney write","	Night of the Lepus, Games, A Man Called Gannon"
" what movies did Steve Hayes write","	Time After Time"
" what films was Peter Rhodes a writer on","	The Last Mountain"
" what movies did Bella Billa write","	Yesterday, Today and Tomorrow"
" which film did Leonard Ripps write","	Frankenweenie"
" what film did H.A.L. Craig write","	Lion of the Desert, Airport '77, Waterloo, Anzio"
" what is a film written by Colman deKay","	Bloodhounds of Broadway"
" which film did Walter Anthony write","	The Man Who Laughs, The Cat and the Canary, Foolish Wives, Tarzan the Fearless, The Sea Hawk"
" what films did Honore Morrow write","	Of Human Hearts"
" what films did Kiyoko Murata write","	Rhapsody in August"
" what is a film written by Robin Mukherjee","	Lore"
" which film did Eric Byler write","	Charlotte Sometimes, 9500 Liberty"
" what is a film written by Martin Flavin","	The Big House, The Criminal Code, Passion Flower"
" what films did Charles Kuenstle write","	Airport '77"
" what is a movie written by Will Kern","	Chicago Cab"
" what is a movie written by Bill Forsyth","	Local Hero, Gregory's Girl, Being Human, Housekeeping, Comfort and Joy, That Sinking Feeling"
" what films was Michael Grais a writer on","	Poltergeist, Cool World, Marked for Death, Death Hunt"
" what films was Anthony Baxter a writer on","	You've Been Trumped"
" which film did Kang Chien Chiu write the story for","	Rouge, Center Stage, Boat People"
" what is a film written by David Greene","	Madame Sin"
" which movies was Barr B. Potter the writer of","	War of the Dead"
" what movies was Anne Spielberg the writer of","	Big"
" what movie did Gina Wendkos write the story for","	Coyote Ugly, The Princess Diaries, The Perfect Man"
" what is a film written by Mikk Mägi","	The Class"
" what films was Ben Elton a writer on","	Maybe Baby"
" what films was Steve Rudnick a writer on","	Space Jam, The Santa Clause"
" what films did Jonathan Tropper write","	This Is Where I Leave You"
" what films did Murray Michaels write","	Tuff Turf"
" what movies was Roald Dahl the writer of","	Charlie and the Chocolate Factory, Fantastic Mr. Fox, Matilda, You Only Live Twice, James and the Giant Peach, Chitty Chitty Bang Bang, The Witches, 36 Hours"
" which film did John Lasseter write","	Toy Story, Toy Story 3, Toy Story 2, Cars, A Bug's Life, Cars 2, Planes"
" what films did Sam Montgomery write","	U-571, Breakdown"
" what movies was Diane Lamond the writer of","	Felicity"
" what is a movie written by Marcelo Birmajer","	Lost Embrace"
" what films did Kenny Yakkel write","	The Task, 51, Dead Air"
" what film did Edward Cannon write","	Going in Style"
" what is a film written by Max Mayer","	Adam, Better Living"
" what is a film written by Latif Yahia","	The Devil's Double"
" which movie did Albert Leon write","	Feel the Noise"
" what is a movie written by Teemu Molin","	Skeleton Crew"
" what movies was J.K. Rowling the writer of","	Harry Potter and the Goblet of Fire, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Order of the Phoenix, Harry Potter and the Half-Blood Prince"
" which film did Emmanuel Roblès write","	The Stranger"
" which film did Tom McCarthy write","	Double Take"
" what film did Lotte Colin write","	Play Dirty"
" which film did Ben L. Reitman write the story for","	Boxcar Bertha"
" what films did Fran Striker write","	The Legend of the Lone Ranger"
" what movies was Martha Cheavens the writer of","	Penny Serenade"
" which film did François d'Épenoux write the story for","	Love Me No More"
" which movie did Bernard Gordon write","	The Day of the Triffids, Earth vs. the Flying Saucers, 55 Days at Peking, Crime Wave, The Lawless Breed, Zombies of Mora Tau"
" what is a movie written by Michael Traeger","	Dead Man on Campus, The Amateurs"
" which film did David Beaird write the story for","	My Chauffeur, Scorchers"
" what is a movie written by Alberto Liberati","	China 9, Liberty 37"
" what movies did Anders Frithiof August write","	A Funny Man, Applause"
" what movies did Cyril Gardner write","	Two Arabian Knights"
" which movies was J.H. Ingraham a writer on","	The Ten Commandments"
" what movies did Frank Rehwaldt write","	Deadbolt"
" what movie did Guy Hibbert write the story for","	Five Minutes of Heaven, Omagh"
" which film did Blake T. Evans write","	Flyboys"
" what is a film written by James Cawthorn","	The Land That Time Forgot"
" what is a movie written by Anyi Wang","	Temptress Moon"
" which movies was Rikki Beadle Blair the writer of","	Stonewall"
" what movies did Luis García Berlanga write","	Welcome Mr. Marshall!"
" what is a movie written by Val Lewton","	The Body Snatcher, Bedlam"
" what films was Galt Niederhoffer a writer on","	Prozac Nation, The Romantics"
" which film did Amy Andelson write the story for","	Step Up 3D"
" what movie did Richard Schayer write the story for","	Frankenstein, The Mummy, The Cameraman, Kim, Tell It to the Marines, Spite Marriage, Across to Singapore, Just a Gigolo, Private Lives, Trader Horn, Arizona Raiders, Doughboys, The Flying Fleet"
" what movies did Enzo Provenzale write","	Salvatore Giuliano"
" what films did Nobuhiro Monma write","	The World of Kanako"
" what is a film written by Walter Saxer","	Scream of Stone"
" what movies was Jon Bernstein the writer of","	Meet the Robinsons, Ringmaster, Beautiful"
" what film did Christopher Robbins write","	Air America"
" what movies was Margot Benacerraf the writer of","	Araya"
" what films was Victor Atherino a writer on","	Brazilian Western"
" what movies was Karl Vollmöller the writer of","	The Blue Angel"
" what movies did Bobby Smith Jr. write","	Jason's Lyric"
" what movie did Achim von Arnim write the story for","	Signs of Life"
" which movies was Cary Solomon a writer on","	God's Not Dead, Earth vs. the Spider, What If..."
" what movies did Winnie Holzman write","	'Til There Was You"
" which film did Anthony Lawrence write the story for","	Elvis, Roustabout, Paradise, Hawaiian Style, Easy Come, Easy Go"
" which film did Pedro Beltrán write","	The Moment of Truth"
" what movies was Susan Orlean the writer of","	Blue Crush"
" which movies was Francine Prose the writer of","	Household Saints"
" which film did Agnès Jaoui write the story for","	The Taste of Others, Look at Me, Family Resemblances, Same Old Song, Let's Talk About the Rain, Smoking/No Smoking"
